Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"177357050240","Durabasics Humidifier Filters 4-pk For HAC-504 Series, Honeywell HCM, HEV Series",,4P,"1","FIXED_PRICE","USD",17.5,,,17.5,"0","","","Aug-23-25 04:19:01 PDT","Nov-23-25 04:19:01 PST","Air Filters","43509","","","Open box","","","","","","US","","",""
"177367264755",Build A Bear Confetti Sprinkles Pup Plush W/BFF Sequin Shirt-No Scent Sound N/A,,4F,"1","FIXED_PRICE","USD",17.5,,,17.5,"0","","","Aug-26-25 09:08:38 PDT","Oct-26-25 09:08:38 PDT","Bears","262345","","","Used","","","","","","US","","",""
"177367289280",Flip-A-Zoo Reversible Plush Unicorn To Dragon Jay@Play Large Size Used,,4G,"1","FIXED_PRICE","USD",15.0,,,15.0,"0","1","","Aug-26-25 09:22:40 PDT","Oct-26-25 09:22:40 PDT","Other Stuffed Animals","230","","","Used","","","","","","US","","",""
"177367317123",Bleikristall Crystal Angel Playing Lute Figure Christmas Germany 8in Over24%PbO,,,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","","","Aug-27-25 12:42:01 PDT","Oct-27-25 12:42:01 PDT","Sculptures & Figurines","261628","","","Used","","","","","","US","","",""
"177400948526",Sanrio Hello Kitty Women's Sleep Shorts Red Lounge Pajama Shorts Size 2xl(20),,4H,"1","FIXED_PRICE","USD",14.99,,,14.99,"0","4","","Sep-09-25 13:29:43 PDT","Nov-09-25 13:29:43 PST","Sleepwear & Robes","63855","","","Pre-owned - Excellent","","","","","","US","","",""
"177401056085",Wrangler Women's Western Snap Shirt XXL Short Sleeve Pearl Snaps Light Print,,4J,"1","FIXED_PRICE","USD",27.99,,,27.99,"0","2","","Sep-11-25 08:26:01 PDT","Nov-11-25 08:26:01 PST","Tops","53159","","","Pre-owned - Excellent","","","","","","US","","",""
"177401076143",Wrangler Women's Western Pearl Snap Shirt XXL Short Sleeve Geometric Pattern,,4K,"1","FIXED_PRICE","USD",27.99,,,27.99,"0","0","","Sep-09-25 14:40:03 PDT","Nov-09-25 14:40:03 PST","Tops","53159","","","Pre-owned - Excellent","","","","","","US","","",""
"177401141732",UCF Knights 64oz Gold Glass Growler Coin Bank Keyscaper NCAA Souvenir,,4L,"1","FIXED_PRICE","USD",24.99,,,24.99,"0","1","","Sep-12-25 09:04:01 PDT","Nov-12-25 09:04:01 PST","College-NCAA","24541","","","Used","","","","","","US","","",""
"177420571003",Silhouettes Reversible Jacket– Leather & Denim Women’s Size XL W/Pockets,,,"1","FIXED_PRICE","USD",16.0,,,16.0,"0","","","Sep-17-25 16:59:09 PDT","Nov-17-25 16:59:09 PST","Coats, Jackets & Vests","63862","","","Pre-owned - Good","","","","","","US","","",""
"177441651003",Arm & Hammer Hoover Filter,,4 Oh,"1","FIXED_PRICE","USD",10.0,,,10.0,"0","","","Sep-26-25 09:44:24 PDT","Oct-26-25 09:44:24 PDT","Vacuum Cleaner Parts","42146","","","Open box","","","","","","US","023169118638","",""
"177441681341",Jordan Nike Jumpman Long Sleeve Shirt Youth Size Small 8-10 Years,,4Q,"1","FIXED_PRICE","USD",18.0,,,18.0,"0","1","","Sep-27-25 12:59:01 PDT","Oct-27-25 12:59:01 PDT","Tops, Shirts & T-Shirts","260966","","","Pre-owned - Excellent","","","","","","US","","",""
"177441715822",Under Armor Sweat Pants Girls Size Small,,4R,"1","FIXED_PRICE","USD",16.0,,,16.0,"0","","","Sep-28-25 07:17:01 PDT","Oct-28-25 07:17:01 PDT","Activewear Pants","260976","","","Pre-owned - Excellent","","","","","","US","","",""
"177441732211",Under Armour Girl's Loose Fit Purple Top Size Youth Medium,,4S,"1","FIXED_PRICE","USD",12.0,,,12.0,"0","","","Sep-29-25 03:28:01 PDT","Oct-29-25 03:28:01 PDT","Tops, Shirts & T-Shirts","260965","","","Pre-owned - Excellent","","","","","","US","","",""
"177442106197",Guns-N-Roses Maroon T-shirt Size Adult Medium,,4T,"1","FIXED_PRICE","USD",15.0,,,15.0,"0","","","Sep-29-25 08:00:01 PDT","Oct-29-25 08:00:01 PDT","Apparel","104752","","","","","","","","","US","","",""
"177442128740",CK Calvin Klein Slim Fit  Long Sleeve Button Up Shirt Men's Size XXL Grey/White,,4U,"1","FIXED_PRICE","USD",19.99,,,19.99,"0","","","Oct-01-25 08:14:01 PDT","Nov-01-25 08:14:01 PDT","Dress Shirts","57991","","","Pre-owned - Excellent","","","","","","US","","",""
"177442135897","Tommy Hilfiger Zip up Collared Shirt Women's Size Medium Pink, Red, White, Blue",,4V,"1","FIXED_PRICE","USD",16.0,,,16.0,"0","","","Oct-01-25 04:22:01 PDT","Nov-01-25 04:22:01 PDT","Tops","53159","","","Pre-owned - Excellent","","","","","","US","","",""
"177442153041",Boy Scouts Of America BSA Quick Dry Tee Adult Size Small Green,,4W,"1","FIXED_PRICE","USD",16.0,,,16.0,"0","","","Oct-02-25 08:30:01 PDT","Nov-02-25 08:30:01 PST","Shirts, Shorts & Pants","39657","","","Used","","","","","","US","","",""
"177442188023",Hollister Must-Have Collection Tee Adult Size Large Teal,,4X,"1","FIXED_PRICE","USD",15.0,,,15.0,"0","","","Oct-04-25 05:55:01 PDT","Nov-04-25 05:55:01 PST","T-Shirts","15687","","","Pre-owned - Excellent","","","","","","US","","",""
